word,label,confidence,reason
दिल,correct_spelling,HIGH,in dictionary + morphologically valid
था,correct_spelling,HIGH,in dictionary + morphologically valid
क्या,correct_spelling,HIGH,in dictionary + morphologically valid
क्यों,correct_spelling,HIGH,in dictionary + morphologically valid
मेरी,correct_spelling,HIGH,in dictionary + morphologically valid
वे,correct_spelling,HIGH,in dictionary + morphologically valid
फिर,correct_spelling,HIGH,in dictionary + morphologically valid
इस,correct_spelling,HIGH,in dictionary + morphologically valid
छोटी,correct_spelling,HIGH,in dictionary + morphologically valid
लिया,correct_spelling,HIGH,in dictionary + morphologically valid
तीन,correct_spelling,HIGH,in dictionary + morphologically valid
हूं,correct_spelling,HIGH,in dictionary + morphologically valid
देना,correct_spelling,HIGH,in dictionary + morphologically valid
करें,correct_spelling,HIGH,in dictionary + morphologically valid
पाँच,correct_spelling,HIGH,in dictionary + morphologically valid
बाद,correct_spelling,HIGH,in dictionary + morphologically valid
गए,correct_spelling,HIGH,in dictionary + morphologically valid
कर,correct_spelling,HIGH,in dictionary + morphologically valid
मेरा,correct_spelling,HIGH,in dictionary + morphologically valid
जिंदगी,correct_spelling,HIGH,in dictionary + morphologically valid
बड़ा,correct_spelling,HIGH,in dictionary + morphologically valid
वो,correct_spelling,HIGH,in dictionary + morphologically valid
करते,correct_spelling,HIGH,in dictionary + morphologically valid
सोच,correct_spelling,HIGH,in dictionary + morphologically valid
कौन,correct_spelling,HIGH,in dictionary + morphologically valid
होती,correct_spelling,HIGH,in dictionary + morphologically valid
हैं,correct_spelling,HIGH,in dictionary + morphologically valid
अभी,correct_spelling,HIGH,in dictionary + morphologically valid
कैसे,correct_spelling,HIGH,in dictionary + morphologically valid
हमारा,correct_spelling,HIGH,in dictionary + morphologically valid
इन,correct_spelling,HIGH,in dictionary + morphologically valid
समझना,correct_spelling,HIGH,in dictionary + morphologically valid
साल,correct_spelling,HIGH,in dictionary + morphologically valid
सौ,correct_spelling,HIGH,in dictionary + morphologically valid
गया,correct_spelling,HIGH,in dictionary + morphologically valid
का,correct_spelling,HIGH,in dictionary + morphologically valid
से,correct_spelling,HIGH,in dictionary + morphologically valid
जी,correct_spelling,HIGH,in dictionary + morphologically valid
रुपये,correct_spelling,HIGH,in dictionary + morphologically valid
होना,correct_spelling,HIGH,in dictionary + morphologically valid
में,correct_spelling,HIGH,in dictionary + morphologically valid
हुई,correct_spelling,HIGH,in dictionary + morphologically valid
कि,correct_spelling,HIGH,in dictionary + morphologically valid
लोग,correct_spelling,HIGH,in dictionary + morphologically valid
झूठ,correct_spelling,HIGH,in dictionary + morphologically valid
देता,correct_spelling,HIGH,in dictionary + morphologically valid
बड़े,correct_spelling,HIGH,in dictionary + morphologically valid
सच,correct_spelling,HIGH,in dictionary + morphologically valid
पांच,correct_spelling,HIGH,in dictionary + morphologically valid
कभी,correct_spelling,HIGH,in dictionary + morphologically valid
नाम,correct_spelling,HIGH,in dictionary + morphologically valid
दस,correct_spelling,HIGH,in dictionary + morphologically valid
बात,correct_spelling,HIGH,in dictionary + morphologically valid
जाना,correct_spelling,HIGH,in dictionary + morphologically valid
लेना,correct_spelling,HIGH,in dictionary + morphologically valid
पर,correct_spelling,HIGH,in dictionary + morphologically valid
नया,correct_spelling,HIGH,in dictionary + morphologically valid
दो,correct_spelling,HIGH,in dictionary + morphologically valid
तो,correct_spelling,HIGH,in dictionary + morphologically valid
कब,correct_spelling,HIGH,in dictionary + morphologically valid
लेता,correct_spelling,HIGH,in dictionary + morphologically valid
आठ,correct_spelling,HIGH,in dictionary + morphologically valid
नई,correct_spelling,HIGH,in dictionary + morphologically valid
हां,correct_spelling,HIGH,in dictionary + morphologically valid
को,correct_spelling,HIGH,in dictionary + morphologically valid
और,correct_spelling,HIGH,in dictionary + morphologically valid
सरकार,correct_spelling,HIGH,in dictionary + morphologically valid
चार,correct_spelling,HIGH,in dictionary + morphologically valid
औरत,correct_spelling,HIGH,in dictionary + morphologically valid
आपके,correct_spelling,HIGH,in dictionary + morphologically valid
लाख,correct_spelling,HIGH,in dictionary + morphologically valid
बस,correct_spelling,HIGH,Devanagari transliteration of English word
किया,correct_spelling,HIGH,in dictionary + morphologically valid
बड़ी,correct_spelling,HIGH,in dictionary + morphologically valid
हुआ,correct_spelling,HIGH,in dictionary + morphologically valid
अच्छा,correct_spelling,HIGH,in dictionary + morphologically valid
मेरे,correct_spelling,HIGH,in dictionary + morphologically valid
नौ,correct_spelling,HIGH,in dictionary + morphologically valid
उनका,correct_spelling,HIGH,in dictionary + morphologically valid
आदमी,correct_spelling,HIGH,in dictionary + morphologically valid
बोलना,correct_spelling,HIGH,in dictionary + morphologically valid
होते,correct_spelling,HIGH,in dictionary + morphologically valid
पैसा,correct_spelling,HIGH,in dictionary + morphologically valid
उन,correct_spelling,HIGH,in dictionary + morphologically valid
आपका,correct_spelling,HIGH,in dictionary + morphologically valid
आप,correct_spelling,HIGH,in dictionary + morphologically valid
आपकी,correct_spelling,HIGH,in dictionary + morphologically valid
देश,correct_spelling,HIGH,in dictionary + morphologically valid
अच्छे,correct_spelling,HIGH,in dictionary + morphologically valid
नहीं,correct_spelling,HIGH,in dictionary + morphologically valid
दिन,correct_spelling,HIGH,in dictionary + morphologically valid
दुनिया,correct_spelling,HIGH,in dictionary + morphologically valid
मैं,correct_spelling,HIGH,in dictionary + morphologically valid
घर,correct_spelling,HIGH,in dictionary + morphologically valid
थे,correct_spelling,HIGH,in dictionary + morphologically valid
थी,correct_spelling,HIGH,in dictionary + morphologically valid
छह,correct_spelling,HIGH,in dictionary + morphologically valid
पहले,correct_spelling,HIGH,in dictionary + morphologically valid
हज़ार,correct_spelling,HIGH,in dictionary + morphologically valid
जाती,correct_spelling,HIGH,in dictionary + morphologically valid
गलत,correct_spelling,HIGH,in dictionary + morphologically valid
सोचना,correct_spelling,HIGH,in dictionary + morphologically valid
जो,correct_spelling,HIGH,in dictionary + morphologically valid
करता,correct_spelling,HIGH,in dictionary + morphologically valid
करना,correct_spelling,HIGH,in dictionary + morphologically valid
अच्छी,correct_spelling,HIGH,in dictionary + morphologically valid
हम,correct_spelling,HIGH,in dictionary + morphologically valid
हो,correct_spelling,HIGH,in dictionary + morphologically valid
करती,correct_spelling,HIGH,in dictionary + morphologically valid
आती,correct_spelling,HIGH,in dictionary + morphologically valid
समय,correct_spelling,HIGH,in dictionary + morphologically valid
जगह,correct_spelling,HIGH,in dictionary + morphologically valid
कम,correct_spelling,HIGH,in dictionary + morphologically valid
ये,correct_spelling,HIGH,in dictionary + morphologically valid
चीज,correct_spelling,HIGH,in dictionary + morphologically valid
सही,correct_spelling,HIGH,in dictionary + morphologically valid
छोटा,correct_spelling,HIGH,in dictionary + morphologically valid
काम,correct_spelling,HIGH,in dictionary + morphologically valid
के,correct_spelling,HIGH,in dictionary + morphologically valid
सात,correct_spelling,HIGH,in dictionary + morphologically valid
ना,correct_spelling,HIGH,in dictionary + morphologically valid
गई,correct_spelling,HIGH,in dictionary + morphologically valid
तरीका,correct_spelling,HIGH,in dictionary + morphologically valid
या,correct_spelling,HIGH,in dictionary + morphologically valid
भी,correct_spelling,HIGH,in dictionary + morphologically valid
वह,correct_spelling,HIGH,in dictionary + morphologically valid
करोड़,correct_spelling,HIGH,in dictionary + morphologically valid
पुराना,correct_spelling,HIGH,in dictionary + morphologically valid
ज्यादा,correct_spelling,HIGH,in dictionary + morphologically valid
हुए,correct_spelling,HIGH,in dictionary + morphologically valid
उस,correct_spelling,HIGH,in dictionary + morphologically valid
सिर्फ,correct_spelling,HIGH,in dictionary + morphologically valid
बहुत,correct_spelling,HIGH,in dictionary + morphologically valid
कहाँ,correct_spelling,HIGH,in dictionary + morphologically valid
परिवार,correct_spelling,HIGH,in dictionary + morphologically valid
हमेशा,correct_spelling,HIGH,in dictionary + morphologically valid
मन,correct_spelling,HIGH,in dictionary + morphologically valid
आए,correct_spelling,HIGH,in dictionary + morphologically valid
दिया,correct_spelling,HIGH,in dictionary + morphologically valid
की,correct_spelling,HIGH,in dictionary + morphologically valid
है,correct_spelling,HIGH,in dictionary + morphologically valid
आता,correct_spelling,HIGH,in dictionary + morphologically valid
बताना,correct_spelling,HIGH,in dictionary + morphologically valid
जाता,correct_spelling,HIGH,in dictionary + morphologically valid
यह,correct_spelling,HIGH,in dictionary + morphologically valid
तीस,correct_spelling,HIGH,in dictionary + morphologically valid
आना,correct_spelling,HIGH,in dictionary + morphologically valid
बच्चा,correct_spelling,HIGH,in dictionary + morphologically valid
एक,correct_spelling,HIGH,in dictionary + morphologically valid
होता,correct_spelling,HIGH,in dictionary + morphologically valid
बीस,correct_spelling,HIGH,in dictionary + morphologically valid
हैिं,incorrect_spelling,LOW,ambiguous; more signals negative than positive
करतासा,incorrect_spelling,LOW,ambiguous; more signals negative than positive
कंप्यूटर,correct_spelling,HIGH,Devanagari transliteration of English word
aapka,incorrect_spelling,MEDIUM,Latin script word in Devanagari corpus
थाा,incorrect_spelling,LOW,ambiguous; more signals negative than positive
बोलनाा,incorrect_spelling,LOW,ambiguous; more signals negative than positive
समझाया,incorrect_spelling,LOW,ambiguous; more signals negative than positive
